Org_ID,Org_name,Org_address,Org_phone_number,Org_founded_date
0,Mcdonald-Kent Welfare,40863 基隆大智街991號之0,0999-357688,1981-01-22
1,Foster-Dunn Care,822 永康市廣慈街1號4樓,01 7551840,2016-06-24
2,"White, Newman and Medina Conservation",31271 朴子市延平街3段31號之9,0913207638,2010-06-11
3,Neal-Thornton Sanctuary,55906 桃園縣長安路713號3樓,0981893752,1996-02-04
4,"Wilson, Mcdaniel and Hill Shelter",710 員林市信義路4號5樓,09-8720648,1974-03-23
5,Moore LLC Welfare,751 宜蘭市廣慈巷9號之1,04-1856657,1998-12-20
6,"Rose, Arellano and Richardson Rescue",87822 台北縣光復街461號1樓,0901458368,2006-03-07
7,"Thomas, Jones and Brown Animal",701 永康福德路2號4樓,02-6897149,1999-05-03
8,Boone PLC Wildlife,84019 馬公福安路8號之0,0962-803264,1976-10-09
9,Davis Group Rescue,752 褒忠中山街1段43號之0,04-66373631,1992-09-26
10,Swanson-Lee Animal,891 北斗中興街962號之4,07-18587346,1985-09-30
11,Meyer-Ramos Conservation,84100 蘆洲市土城巷81號之8,(00) 39659701,1979-01-04
12,Khan Group Conservation,34210 苗栗光復街9號之4,00-87196570,1984-12-17
13,Cabrera Inc Rescue,449 蘆洲福德路64號之9,06-5178258,2022-05-20
14,"Nolan, Brooks and Elliott Animal",30070 蘆洲忠義街68號之6,(02) 70356982,1970-12-05
15,Walker Inc Rescue,940 牡丹市太平巷1段7號之1,0946140714,1980-08-17
16,Graves Group Shelter,505 花蓮市新店巷869號之3,08-17406152,2008-07-22
17,Collins-Montgomery Animal,522 北港平和巷42號7樓,0913007744,2005-01-01
18,"Powell, Snyder and Alvarez Rescue",647 台北縣大安路8段795號3樓,(03) 96346210,2005-12-05
19,"Martin, Campbell and Rosales Protection",734 連江市東興街8段213號之0,0974002264,1986-05-28
20,"Mason, Haley and Henson Conservation",22499 古坑東興街20號之5,07-90172985,1975-04-06
21,"Crawford, Armstrong and Reed Sanctuary",160 新竹太平路44號5樓,05-1028945,1970-03-07
22,"Barajas, Ford and Jones Care",644 臺東動物園路719號之4,0983940226,1987-12-14
23,Munoz Ltd Shelter,287 北斗縣東湖路773號之1,0984378270,2000-04-16
24,Johnson Ltd Sanctuary,775 苗栗市蘆洲街6號4樓,0988-530873,1998-05-22
25,Mcdonald-Kent Welfare,23904 古坑民治路638號6樓,00 9739881,1999-12-09
26,Foster-Dunn Care,12452 太平縣民治路2段244號之2,0972-880071,1977-11-29
27,"White, Newman and Medina Conservation",89517 豐原文山巷770號7樓,0965-520001,1973-03-14
28,Neal-Thornton Sanctuary,24909 桃園頂福州街609號7樓,09-78257320,2018-09-06
29,"Wilson, Mcdaniel and Hill Shelter",579 蘆竹縣興街705號之1,0986-796138,2017-10-16
